datetime,002415,600867,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,0.0,100000.0,0.0,100000.0,,,
2018-09-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-02,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-01,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-02,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-01,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-08,3971.0,2909.0,93090.4,2.6,99970.4,-0.000296000000000074,0.9997039999999999,0.000296000000000074
2018-05-07,3929.0,3000.0,93090.4,2.6,100019.4,0.0004901450829446485,1.000194,0.0
2018-05-04,3922.9999999999995,2980.0,93090.4,2.6,99993.4,-0.0002599495697834797,0.999934,0.000260000000000038
2018-05-03,3929.9999999999995,2874.0,93090.4,2.6,99894.4,-0.000990065344312674,0.998944,0.0012499999999999734
2018-05-02,3911.9999999999995,2878.0,93090.4,2.6,99880.4,-0.00014014799628403463,0.9988040000000001,0.0013899999999998913
2018-04-27,3850.0,2880.0,93090.4,2.6,99820.4,-0.0006007184592773385,0.9982040000000001,0.0019899999999999363
2018-04-26,3800.0,2639.0,93090.4,2.6,99529.4,-0.002915235763431112,0.9952940000000001,0.004899999999999904
2018-04-25,3954.9999999999995,2680.0,93090.4,2.6,99725.4,0.00196926737225378,0.9972540000000001,0.0029399999999999427
2018-04-24,3968.0,2541.0,93090.4,2.6,99599.4,-0.001263469487211899,0.995994,0.0041999999999999815
2018-04-23,3908.0,2477.0,93090.4,2.6,99475.4,-0.0012449874196028832,0.9947540000000001,0.005439999999999889
2018-04-20,3833.0,2526.0,93090.4,2.6,99449.4,-0.00026137115306901215,0.9944940000000001,0.005699999999999927
2018-04-19,3925.0,2556.0,93090.4,2.6,99571.4,0.0012267545103339383,0.9957140000000001,0.0044799999999999285
2018-04-18,3802.0000000000005,2473.0,93090.4,2.6,99365.4,-0.002068867164667809,0.993654,0.00653999999999999
2018-04-17,3799.0,2467.0,93090.4,2.6,99356.4,-9.057478760210458e-05,0.993564,0.006630000000000025
2018-04-16,4075.0,2489.0,93090.4,2.6,99654.4,0.0029993035174382676,0.996544,0.003650000000000042
2018-04-13,4154.0,2546.0,93090.4,2.6,99790.4,0.0013647164600860684,0.997904,0.0022900000000000142
2018-04-12,4128.0,2595.0,93090.4,2.6,99813.4,0.00023048309256190613,0.9981339999999999,0.002060000000000173
2018-04-11,4196.0,2518.0,93090.4,2.6,99804.4,-9.016825396190864e-05,0.9980439999999998,0.0021500000000002073
2018-04-10,4204.0,2535.0,93090.4,2.6,99829.4,0.0002504899583586351,0.9982939999999999,0.0019000000000001238
2018-04-09,4069.0,2485.0,93090.4,2.6,99644.4,-0.0018531614935078933,0.9964439999999999,0.003750000000000142
2018-04-04,4110.0,2555.0,93090.4,2.6,99755.4,0.0011139612461914528,0.9975539999999998,0.0026400000000001977
2018-04-03,4135.0,2624.0,93090.4,2.6,99849.4,0.0009423048777308374,0.9984939999999998,0.0017000000000002569
2018-04-02,4083.0,2651.0,93090.4,2.6,99824.4,-0.0002503770678642381,0.9982439999999997,0.0019500000000003403
2018-03-30,4130.0,2673.0,93090.4,2.6,99893.4,0.0006912137713825928,0.9989339999999998,0.001260000000000261
2018-03-29,4150.0,2502.0,93090.4,2.6,99742.4,-0.0015116113777287055,0.9974239999999998,0.0027700000000002722
2018-03-28,4203.0,2592.0,93090.4,2.6,99885.4,0.0014336931936669295,0.9988539999999998,0.00134000000000023
2018-03-27,4403.0,2559.0,93090.4,2.6,100052.4,0.0016719160157541157,1.000524,0.0
2018-03-26,4289.0,2552.0,93090.4,2.6,99931.4,-0.001209366292062919,0.999314,0.0012099999999999334
2018-03-23,4279.0,2457.0,93090.4,2.6,99826.4,-0.0010507207944649988,0.998264,0.0022599999999999287
2018-03-22,4326.0,2505.0,93090.4,2.6,99921.4,0.000951652067989972,0.9992139999999999,0.0013100000000000334
2018-03-21,4356.0,2570.0,93090.4,2.6,100016.4,0.0009507472873677703,1.0001639999999998,0.000360000000000138
2018-03-20,4260.0,2582.0,93090.4,2.6,99932.4,-0.0008398622625889196,0.9993239999999999,0.0012000000000000899
2018-03-19,4250.0,2521.0,93090.4,2.6,99861.4,-0.0007104802846724656,0.9986139999999999,0.0019100000000000783
2018-03-16,4166.0,2400.0,93090.4,2.6,99656.4,-0.0020528452435074618,0.9965639999999999,0.003960000000000075
2018-03-15,4309.0,2451.0,93090.4,2.6,99850.4,0.0019466888227950285,0.9985039999999998,0.002020000000000133
2018-03-14,4295.0,2432.0,93090.4,2.6,99817.4,-0.0003304944196518278,0.9981739999999998,0.0023500000000001853
2018-03-13,4359.0,2481.0,93090.4,2.6,99930.4,0.0011320671546244387,0.9993039999999999,0.0012200000000001099
2018-03-12,4395.0,2522.0,93090.4,2.6,100007.4,0.0007705362932601822,1.000074,0.00045000000000006146
2018-03-09,4373.0,2510.0,93090.4,2.6,99973.4,-0.0003399748418616566,0.9997339999999999,0.0007900000000000684
2018-03-08,4246.0,2500.0,93090.4,2.6,99836.4,-0.0013703645169614864,0.9983639999999999,0.0021600000000000508
2018-03-07,4160.0,2390.0,93090.4,2.6,99640.4,-0.0019632118145285204,0.996404,0.0041200000000000125
2018-03-06,4310.0,2376.0,93090.4,2.6,99776.4,0.001364908209922966,0.997764,0.0027599999999999847
2018-03-05,4274.0,2290.0,93090.4,2.6,99654.4,-0.0012227340332984227,0.996544,0.0039799999999999836
2018-03-02,4280.0,2348.0,93090.4,2.6,99718.4,0.0006422195106288164,0.9971840000000001,0.0033399999999998986
2018-03-01,4429.0,2372.0,93090.4,2.6,99891.4,0.0017348854373917533,0.9989140000000001,0.0016099999999998893
2018-02-28,4257.0,2340.0,93090.4,2.6,99687.4,-0.002042217848583605,0.996874,0.003649999999999931
2018-02-27,4255.0,2322.0,93090.4,2.6,99667.4,-0.0002006271605037302,0.9966740000000001,0.003849999999999909
2018-02-26,4300.0,2292.0,93090.4,2.6,99682.4,0.00015050056487875274,0.996824,0.0036999999999999256
2018-02-23,4098.0,2245.0,93090.4,2.6,99433.4,-0.002497933436594657,0.994334,0.006189999999999918
2018-02-22,4044.0,2315.0,93090.4,2.6,99449.4,0.00016091172583854174,0.994494,0.00602999999999998
2018-02-14,3945.0000000000005,2278.0,93090.4,2.6,99313.4,-0.001367529618077179,0.993134,0.007390000000000008
2018-02-13,3922.0,2280.0,93090.4,2.6,99292.4,-0.0002114518282527733,0.9929239999999999,0.007600000000000051
2018-02-12,3892.0,2290.0,93090.4,2.6,99272.4,-0.00020142528531896797,0.9927239999999998,0.00780000000000014
2018-02-09,3736.0,2099.0,93090.4,2.6,98925.4,-0.0034954327688260234,0.9892539999999997,0.011270000000000224
2018-02-08,3853.0,2182.0,93090.4,2.6,99125.4,0.0020217254618126734,0.9912539999999997,0.009270000000000223
2018-02-07,3640.0,2151.0,93090.4,2.6,98881.4,-0.002461528528510337,0.9888139999999997,0.01171000000000022
2018-02-06,3661.0,2070.0,93090.4,2.6,98821.4,-0.0006067875252575572,0.9882139999999997,0.012310000000000265
2018-02-05,3899.0,2225.0,93090.4,2.6,99214.4,0.003976871406395688,0.9921439999999996,0.008380000000000387
2018-02-02,4019.0,2235.0,93090.4,2.6,99344.4,0.001310293667048379,0.9934439999999997,0.007080000000000308
2018-02-01,3968.0,2221.0,93090.4,2.6,99279.4,-0.0006542895221068878,0.9927939999999997,0.007730000000000237
2018-01-31,3990.0,2280.0,93090.4,2.6,99360.4,0.0008158792257004777,0.9936039999999998,0.006920000000000148
2018-01-30,3960.0,2258.0,93090.4,2.6,99308.4,-0.0005233473295196411,0.9930839999999997,0.007440000000000224
2018-01-29,3960.0,2324.0,93090.4,2.6,99374.4,0.0006645963483451478,0.9937439999999997,0.00678000000000023
2018-01-26,4108.0,2356.0,93090.4,2.6,99554.4,0.0018113316910592925,0.9955439999999998,0.0049800000000002065
2018-01-25,4129.0,2350.0,93090.4,2.6,99569.4,0.00015067139172142419,0.9956939999999996,0.004830000000000334
2018-01-24,4100.0,2470.0,93090.4,2.6,99660.4,0.0009139354058576021,0.9966039999999996,0.003920000000000368
2018-01-23,4220.0,2479.0,93090.4,2.6,99789.4,0.0012943957680282558,0.9978939999999996,0.0026300000000003543
2018-01-22,4155.0,2512.0,93090.4,2.6,99757.4,-0.0003206753422708708,0.9975739999999995,0.0029500000000004523
2018-01-19,4029.9999999999995,2476.0,93090.4,2.6,99596.4,-0.0016139153586600674,0.9959639999999995,0.004560000000000453
2018-01-18,4060.0,2502.0,93090.4,2.6,99652.4,0.000562269318971298,0.9965239999999994,0.004000000000000559
2018-01-17,4136.0,2500.0,93090.4,2.6,99726.4,0.0007425812122938691,0.9972639999999994,0.0032600000000005958
2018-01-16,4259.0,2515.0,93090.4,2.6,99864.4,0.0013837860386016754,0.9986439999999994,0.001880000000000548
2018-01-15,4259.0,2416.0,93090.4,2.6,99765.4,-0.0009913442628204372,0.9976539999999994,0.0028700000000005943
2018-01-12,4282.0,2404.0,93090.4,2.6,99776.4,0.00011025866683245233,0.9977639999999994,0.00276000000000054
2018-01-11,4190.0,2408.0,93090.4,2.6,99688.4,-0.0008819720895922867,0.9968839999999994,0.0036400000000005317
2018-01-10,4162.0,2455.0,93090.4,2.6,99707.4,0.0001905938905630844,0.9970739999999996,0.003450000000000397
2018-01-09,4090.0,2449.0,93090.4,2.6,99629.4,-0.0007822889775482844,0.9962939999999996,0.0042300000000004
2018-01-08,4079.9999999999995,2365.0,93090.4,2.6,99535.4,-0.0009434965983936561,0.9953539999999995,0.005170000000000452
2018-01-05,3978.0,2389.0,93090.4,2.6,99457.4,-0.0007836407951341551,0.9945739999999995,0.005950000000000455
2018-01-04,4050.0,2359.0,93090.4,2.6,99499.4,0.0004222913528806327,0.9949939999999994,0.00553000000000059
2018-01-03,3964.0,2345.0,93090.4,2.6,99399.4,-0.001005031186117722,0.9939939999999994,0.006530000000000591
2018-01-02,3913.0000000000005,2333.0,93090.4,2.6,99336.4,-0.0006338066426960776,0.9933639999999994,0.00716000000000061
2018-01-02,3913.0000000000005,2333.0,93090.4,2.6,99336.4,0.0,0.9933639999999994,0.00716000000000061
